route_id,stop_id,route_length_km,additional_daily_km,additional_daily_cost,estimated_new_riders,additional_daily_revenue,net_daily_benefit,roi_ratio
R_SYN000,SYN000,4.91,39.28,2553.2000000000003,69.648,1044.72,-1508.4800000000002,0.4091806360645464
R_SYN001,SYN001,6.21,49.68,3229.2,79.44449999999999,1191.6674999999998,-2037.5325,0.36902870680044586
R_SYN002,SYN002,6.67,53.36,3468.4,226.35299999999998,3395.2949999999996,-73.10500000000047,0.9789225579517932
R_SYN003,SYN003,7.58,60.64,3941.6,95.76299999999999,1436.445,-2505.1549999999997,0.3644319565658616
R_SYN007,SYN007,4.04,32.32,2100.8,69.648,1044.72,-1056.0800000000002,0.49729626808834726
R_SYN008,SYN008,6.59,52.72,3426.7999999999997,60.945,914.175,-2512.625,0.26677220730710866
R_SYN009,SYN009,3.24,25.92,1684.8000000000002,126.231,1893.465,208.66499999999974,1.1238514957264956
R_SYN016,SYN016,6.61,52.88,3437.2000000000003,417.882,6268.2300000000005,2831.03,1.823644245315955
R_SYN017,SYN017,5.81,46.48,3021.2,104.472,1567.08,-1454.12,0.5186945584535946
R_SYN018,SYN018,2.64,21.12,1372.8,60.945,914.175,-458.625,0.6659200174825175
R_SYN020,SYN020,5.19,41.52,2698.8,69.648,1044.72,-1654.0800000000002,0.38710538016896395
R_SYN024,SYN024,7.67,61.36,3988.4,104.472,1567.08,-2421.32,0.39290943736836825
R_SYN034,SYN034,10.2,81.6,5304.0,69.648,1044.72,-4259.28,0.19696832579185522
R_SYN036,SYN036,12.47,99.76,6484.400000000001,69.648,1044.72,-5439.68,0.16111282462525445
R_SYN043,SYN043,6.52,52.16,3390.3999999999996,121.87799999999999,1828.1699999999998,-1562.2299999999998,0.5392195611137329
R_SYN052,SYN052,5.39,43.12,2802.7999999999997,34.827,522.405,-2280.3949999999995,0.18638682745825605
R_SYN053,SYN053,7.42,59.36,3858.4,34.827,522.405,-3335.995,0.13539420485175202
R_SYN054,SYN054,5.2,41.6,2704.0,34.827,522.405,-2181.5950000000003,0.19319711538461537
R_SYN055,SYN055,5.71,45.68,2969.2,34.827,522.405,-2446.795,0.17594133099824869
R_SYN062,SYN062,2.44,19.52,1268.8,39.7215,595.8225,-672.9775,0.46959528688524593
R_SYN063,SYN063,3.89,31.12,2022.8,34.827,522.405,-1500.395,0.25825835475578407
R_SYN067,SYN067,4.53,36.24,2355.6,34.827,522.405,-1833.195,0.22177152317880794
