route_id,stop_id,dominant_type,primary_flag,near_congestion_point,route_length_km
R_SYN000,SYN000,hospital,Increase Frequency,False,4.91
R_SYN001,SYN001,bus_station,Increase Frequency,False,6.21
R_SYN002,SYN002,hospital,Increase Frequency,True,6.67
R_SYN003,SYN003,hospital,Increase Frequency,False,7.58
R_SYN004,SYN004,hospital,Well-Served,False,4.02
R_SYN005,SYN005,hospital,Well-Served,False,0.74
R_SYN006,SYN006,college,Adequate,False,1.77
R_SYN007,SYN007,hospital,Increase Frequency,False,4.04
R_SYN008,SYN008,hospital,Increase Frequency,False,6.59
R_SYN009,SYN009,hospital,Increase Frequency,False,3.24
R_SYN010,SYN010,hospital,Adequate,False,6.64
R_SYN011,SYN011,university,Adequate,False,4.29
R_SYN012,SYN012,hospital,Adequate,False,8.5
R_SYN013,SYN013,hospital,Well-Served,False,8.47
R_SYN014,SYN014,station,Well-Served,False,10.3
R_SYN015,SYN015,mall,Adequate,False,12.25
R_SYN016,SYN016,hospital,Increase Frequency,False,6.61
R_SYN017,SYN017,hospital,Increase Frequency,True,5.81
R_SYN018,SYN018,hospital,Increase Frequency,True,2.64
R_SYN019,SYN019,hospital,Well-Served,False,8.09
R_SYN020,SYN020,hospital,Increase Frequency,False,5.19
R_SYN021,SYN021,hospital,Adequate,False,7.78
R_SYN022,SYN022,college,Well-Served,False,11.74
R_SYN023,SYN023,hospital,Adequate,False,11.17
R_SYN024,SYN024,hospital,Increase Frequency,False,7.67
R_SYN025,SYN025,hospital,Adequate,False,11.48
R_SYN026,SYN026,hospital,Adequate,False,6.3
R_SYN027,SYN027,hospital,Adequate,True,8.91
R_SYN028,SYN028,mall,Adequate,False,8.76
R_SYN029,SYN029,hospital,Well-Served,False,5.04
R_SYN030,SYN030,hospital,Adequate,False,10.45
R_SYN031,SYN031,hospital,Adequate,False,1.63
R_SYN032,SYN032,hospital,Well-Served,False,11.27
R_SYN033,SYN033,hospital,Adequate,False,9.9
R_SYN034,SYN034,hospital,Increase Frequency,False,10.2
R_SYN035,SYN035,hospital,Adequate,False,10.55
R_SYN036,SYN036,hospital,Increase Frequency,False,12.47
R_SYN037,SYN037,hospital,Adequate,False,8.5
R_SYN038,SYN038,hospital,Adequate,False,8.97
R_SYN039,SYN039,hospital,Adequate,False,1.23
R_SYN040,SYN040,hospital,Adequate,False,10.68
R_SYN041,SYN041,hospital,Adequate,False,1.01
R_SYN042,SYN042,hospital,Adequate,True,3.03
R_SYN043,SYN043,hospital,Increase Frequency,True,6.52
R_SYN044,SYN044,hospital,Well-Served,False,9.0
R_SYN045,SYN045,hospital,Adequate,False,4.59
R_SYN046,SYN046,hospital,Adequate,False,6.94
R_SYN047,SYN047,hospital,Adequate,False,7.09
R_SYN048,SYN048,hospital,Adequate,False,9.59
R_SYN049,SYN049,hospital,Well-Served,True,5.42
R_SYN050,SYN050,hospital,Adequate,False,4.11
R_SYN051,SYN051,hospital,Adequate,False,6.25
R_SYN052,SYN052,hospital,Increase Frequency,False,5.39
R_SYN053,SYN053,hospital,Increase Frequency,False,7.42
R_SYN054,SYN054,hospital,Increase Frequency,True,5.2
R_SYN055,SYN055,hospital,Increase Frequency,True,5.71
R_SYN056,SYN056,hospital,Well-Served,False,4.91
R_SYN057,SYN057,hospital,Well-Served,False,12.54
R_SYN058,SYN058,university,Adequate,False,2.94
R_SYN059,SYN059,college,Adequate,False,2.47
R_SYN060,SYN060,university,Adequate,False,4.04
R_SYN061,SYN061,hospital,Well-Served,False,3.67
R_SYN062,SYN062,bus_station,Increase Frequency,False,2.44
R_SYN063,SYN063,hospital,Increase Frequency,False,3.89
R_SYN064,SYN064,university,Adequate,False,8.93
R_SYN065,SYN065,college,Adequate,True,7.06
R_SYN066,SYN066,college,Adequate,False,4.1
R_SYN067,SYN067,hospital,Increase Frequency,False,4.53
R_SYN068,SYN068,mall,Adequate,False,4.4
R_SYN069,SYN069,mall,Adequate,True,6.32
R_SYN070,SYN070,mall,Adequate,False,4.51
R_SYN071,SYN071,hospital,Well-Served,False,6.98
R_SYN072,SYN072,marketplace,Adequate,True,3.03
