date,total_demand
2026-01-01,30878.53
2026-01-02,30811.78
2026-01-03,21184.15
2026-01-04,21124.08
2026-01-05,30946.82
2026-01-06,30901.17
2026-01-07,30791.59
2026-01-08,30956.27
2026-01-09,30918.0
2026-01-10,21263.79
2026-01-11,21283.64
2026-01-12,30879.15
2026-01-13,30959.97
2026-01-14,31021.43
2026-01-15,30976.71
2026-01-16,31013.99
2026-01-17,21233.79
2026-01-18,21307.38
2026-01-19,30918.96
2026-01-20,31036.7
2026-01-21,30959.57
2026-01-22,31011.07
2026-01-23,31065.45
2026-01-24,21373.14
2026-01-25,21335.27
2026-01-26,31035.89
2026-01-27,31108.01
2026-01-28,31231.18
2026-01-29,31213.38
2026-01-30,31168.28
2026-01-31,21430.33
2026-02-01,21355.28
2026-02-02,31260.97
2026-02-03,31193.51
2026-02-04,31328.8
2026-02-05,31220.94
2026-02-06,31251.2
2026-02-07,21423.35
2026-02-08,21492.61
2026-02-09,31222.06
2026-02-10,31246.55
2026-02-11,31315.18
2026-02-12,31279.11
2026-02-13,31360.33
2026-02-14,21522.48
2026-02-15,21508.55
2026-02-16,31371.68
2026-02-17,31341.57
2026-02-18,31445.8
2026-02-19,31354.99
2026-02-20,31332.48
2026-02-21,21583.01
2026-02-22,21515.63
2026-02-23,31362.25
2026-02-24,31409.86
2026-02-25,31386.73
2026-02-26,31393.02
2026-02-27,31484.52
2026-02-28,21602.48
2026-03-01,21631.0
