date,stop_id,daily_demand
2026-01-01,SYN002,1514.96
2026-01-01,SYN005,1787.44
2026-01-01,SYN013,2082.56
2026-01-01,SYN016,2790.41
2026-01-01,SYN049,1433.46
2026-01-02,SYN002,1485.7
2026-01-02,SYN005,1795.59
2026-01-02,SYN013,2056.03
2026-01-02,SYN016,2766.46
2026-01-02,SYN049,1446.27
2026-01-03,SYN002,1062.21
2026-01-03,SYN005,1252.96
2026-01-03,SYN013,1438.56
2026-01-03,SYN016,1968.35
2026-01-03,SYN049,1011.15
2026-01-04,SYN002,1047.6
2026-01-04,SYN005,1246.38
2026-01-04,SYN013,1438.1
2026-01-04,SYN016,1959.26
2026-01-04,SYN049,992.77
2026-01-05,SYN002,1527.81
2026-01-05,SYN005,1786.52
2026-01-05,SYN013,2107.19
2026-01-05,SYN016,2807.65
2026-01-05,SYN049,1469.22
2026-01-06,SYN002,1519.7
2026-01-06,SYN005,1801.08
2026-01-06,SYN013,2094.34
2026-01-06,SYN016,2819.01
2026-01-06,SYN049,1451.29
2026-01-07,SYN002,1507.26
2026-01-07,SYN005,1784.67
2026-01-07,SYN013,2045.41
2026-01-07,SYN016,2723.54
2026-01-07,SYN049,1459.55
2026-01-08,SYN002,1498.63
2026-01-08,SYN005,1808.87
2026-01-08,SYN013,2087.39
2026-01-08,SYN016,2812.09
2026-01-08,SYN049,1461.43
2026-01-09,SYN002,1512.62
2026-01-09,SYN005,1805.17
2026-01-09,SYN013,2064.56
2026-01-09,SYN016,2759.86
2026-01-09,SYN049,1495.66
2026-01-10,SYN002,1068.86
2026-01-10,SYN005,1266.54
2026-01-10,SYN013,1453.26
2026-01-10,SYN016,1925.96
2026-01-10,SYN049,1023.33
2026-01-11,SYN002,1063.83
2026-01-11,SYN005,1282.47
2026-01-11,SYN013,1436.95
2026-01-11,SYN016,1957.11
2026-01-11,SYN049,1020.98
2026-01-12,SYN002,1521.3
2026-01-12,SYN005,1777.12
2026-01-12,SYN013,2076.03
2026-01-12,SYN016,2754.61
2026-01-12,SYN049,1439.99
2026-01-13,SYN002,1532.3
2026-01-13,SYN005,1789.02
2026-01-13,SYN013,2085.02
2026-01-13,SYN016,2793.95
2026-01-13,SYN049,1465.92
2026-01-14,SYN002,1518.71
2026-01-14,SYN005,1817.22
2026-01-14,SYN013,2068.59
2026-01-14,SYN016,2813.02
2026-01-14,SYN049,1458.97
2026-01-15,SYN002,1522.7
2026-01-15,SYN005,1790.12
2026-01-15,SYN013,2085.06
2026-01-15,SYN016,2793.72
2026-01-15,SYN049,1443.65
2026-01-16,SYN002,1508.24
2026-01-16,SYN005,1842.37
2026-01-16,SYN013,2081.21
2026-01-16,SYN016,2793.99
2026-01-16,SYN049,1463.88
2026-01-17,SYN002,1065.42
2026-01-17,SYN005,1270.61
2026-01-17,SYN013,1443.66
2026-01-17,SYN016,1947.14
2026-01-17,SYN049,1022.84
2026-01-18,SYN002,1059.7
2026-01-18,SYN005,1268.95
2026-01-18,SYN013,1451.44
2026-01-18,SYN016,1978.31
2026-01-18,SYN049,1031.09
