stop_id,hour,demand_proxy
SYN000,0,9.6
SYN000,1,11.78
SYN000,2,13.92
SYN000,3,15.97
SYN000,4,17.91
SYN000,5,19.7
SYN000,6,21.29
SYN000,7,22.67
SYN000,8,23.81
SYN000,9,24.68
SYN000,10,25.27
SYN000,11,25.56
SYN000,12,25.56
SYN000,13,25.27
SYN000,14,24.68
SYN000,15,23.81
SYN000,16,22.67
SYN000,17,21.29
SYN000,18,19.7
SYN000,19,17.91
SYN000,20,15.97
SYN000,21,13.92
SYN000,22,11.78
SYN000,23,9.6
SYN001,0,21.6
SYN001,1,26.46
SYN001,2,30.95
SYN001,3,34.76
SYN001,4,37.58
SYN001,5,39.22
SYN001,6,39.56
SYN001,7,38.56
SYN001,8,36.31
SYN001,9,32.96
SYN001,10,28.77
SYN001,11,24.05
SYN001,12,19.15
SYN001,13,14.43
SYN001,14,10.24
SYN001,15,7.2
SYN001,16,7.2
SYN001,17,7.2
SYN001,18,7.2
SYN001,19,7.2
SYN001,20,8.44
SYN001,21,12.25
SYN001,22,16.74
SYN001,23,21.6
SYN002,0,31.2
SYN002,1,38.28
SYN002,2,45.23
SYN002,3,51.92
SYN002,4,58.22
SYN002,5,64.02
SYN002,6,69.2
SYN002,7,73.68
SYN002,8,77.37
SYN002,9,80.2
SYN002,10,82.11
SYN002,11,83.08
SYN002,12,83.08
SYN002,13,82.11
SYN002,14,80.2
SYN002,15,77.37
SYN002,16,73.68
SYN002,17,69.2
SYN002,18,64.02
SYN002,19,58.22
SYN002,20,51.92
SYN002,21,45.23
SYN002,22,38.28
SYN002,23,31.2
SYN003,0,13.2
SYN003,1,16.2
SYN003,2,19.14
SYN003,3,21.96
SYN003,4,24.63
SYN003,5,27.08
SYN003,6,29.28
SYN003,7,31.17
SYN003,8,32.73
SYN003,9,33.93
SYN003,10,34.74
SYN003,11,35.15
SYN003,12,35.15
SYN003,13,34.74
SYN003,14,33.93
SYN003,15,32.73
SYN003,16,31.17
SYN003,17,29.28
SYN003,18,27.08
SYN003,19,24.63
SYN003,20,21.96
SYN003,21,19.14
SYN003,22,16.2
SYN003,23,13.2
SYN004,0,14.4
SYN004,1,17.67
SYN004,2,20.88
SYN004,3,23.96
SYN004,4,26.87
SYN004,5,29.55
SYN004,6,31.94
SYN004,7,34.01
SYN004,8,35.71
SYN004,9,37.01
SYN004,10,37.9
SYN004,11,38.34
SYN004,12,38.34
SYN004,13,37.9
SYN004,14,37.01
SYN004,15,35.71
SYN004,16,34.01
SYN004,17,31.94
SYN004,18,29.55
SYN004,19,26.87
SYN004,20,23.96
SYN004,21,20.88
SYN004,22,17.67
SYN004,23,14.4
SYN005,0,37.2
SYN005,1,45.64
SYN005,2,53.93
SYN005,3,61.9
SYN005,4,69.41
SYN005,5,76.33
SYN005,6,82.51
SYN005,7,87.85
SYN005,8,92.25
SYN005,9,95.62
SYN005,10,97.9
SYN005,11,99.06
SYN005,12,99.06
SYN005,13,97.9
SYN005,14,95.62
SYN005,15,92.25
SYN005,16,87.85
SYN005,17,82.51
SYN005,18,76.33
SYN005,19,69.41
SYN005,20,61.9
SYN005,21,53.93
SYN005,22,45.64
SYN005,23,37.2
SYN006,0,2.4
SYN006,1,2.4
SYN006,2,2.4
SYN006,3,2.4
SYN006,4,2.4
SYN006,5,2.4
SYN006,6,2.4
SYN006,7,16.8
SYN006,8,16.8
SYN006,9,16.8
SYN006,10,7.2
SYN006,11,7.2
SYN006,12,7.2
SYN006,13,7.2
SYN006,14,15.6
SYN006,15,15.6
SYN006,16,15.6
SYN006,17,2.4
SYN006,18,2.4
SYN006,19,2.4
SYN006,20,2.4
SYN006,21,2.4
SYN006,22,2.4
